date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:28	37506/37506	---M-Z	200	added ('OK')	text/html	etag:%229282-5200154642d47%22	http://eazzy.me/html/garbini/product.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/product.html	(from )
15:44:28	246/246	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Sep%202016%2010:14:21%20GMT	http://eazzy.me/robots.txt		(from )
15:44:29	122540/122540	---MCZ	200	added ('OK')	text/css	etag:%221deac-5200154fe6944%22	http://eazzy.me/html/garbini/css/bootstrap.min.css	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/css/bootstrap.min.css	(from http://eazzy.me/html/garbini/product.html)
15:44:29	1547/1547	---M-Z	200	added ('OK')	text/css	etag:%2260b-520015521912e%22	http://eazzy.me/html/garbini/css/owl.carousel.css	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/css/owl.carousel.css	(from http://eazzy.me/html/garbini/product.html)
15:44:29	1743/1743	---M-Z	200	added ('OK')	text/css	etag:%226cf-52001552be1c7%22	http://eazzy.me/html/garbini/css/owl.theme.css	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/css/owl.theme.css	(from http://eazzy.me/html/garbini/product.html)
15:44:30	4638/4638	---M-Z	200	added ('OK')	text/css	etag:%22121e-5200155366140%22	http://eazzy.me/html/garbini/css/owl.transitions.css	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/css/owl.transitions.css	(from http://eazzy.me/html/garbini/product.html)
15:44:30	44381/44381	---M-Z	200	added ('OK')	text/css	etag:%22ad5d-5200155db3bf7%22	http://eazzy.me/html/garbini/css/style-pink.css	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/css/style-pink.css	(from http://eazzy.me/html/garbini/product.html)
15:44:31	28956/28956	---M-Z	200	added ('OK')	text/html	etag:%22711c-5200152b7e5ba%22	http://eazzy.me/html/garbini/about-us.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/about-us.html	(from http://eazzy.me/html/garbini/product.html)
15:44:31	32111/32111	---M-Z	200	added ('OK')	text/html	etag:%227d6f-5200152f28d35%22	http://eazzy.me/html/garbini/blog.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/blog.html	(from http://eazzy.me/html/garbini/product.html)
15:44:32	27779/27779	---M-Z	200	added ('OK')	text/html	etag:%226c83-52001533d1325%22	http://eazzy.me/html/garbini/contact.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/contact.html	(from http://eazzy.me/html/garbini/product.html)
15:44:32	22023/22023	---M-Z	200	added ('OK')	text/html	etag:%225607-5200153b54078%22	http://eazzy.me/html/garbini/my-account.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/my-account.html	(from http://eazzy.me/html/garbini/product.html)
15:44:32	24880/24880	---M-Z	200	added ('OK')	text/html	etag:%226130-5200152c62df1%22	http://eazzy.me/html/garbini/account-details.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/account-details.html	(from http://eazzy.me/html/garbini/product.html)
15:44:33	24827/24827	---M-Z	200	added ('OK')	text/html	etag:%2260fb-5200152d4a508%22	http://eazzy.me/html/garbini/account-info.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/account-info.html	(from http://eazzy.me/html/garbini/product.html)
15:44:33	23958/23958	---M-Z	200	added ('OK')	text/html	etag:%225d96-5200153117f01%22	http://eazzy.me/html/garbini/cng-pw.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/cng-pw.html	(from http://eazzy.me/html/garbini/product.html)
15:44:34	26867/26867	---M-Z	200	added ('OK')	text/html	etag:%2268f3-5200152e4161e%22	http://eazzy.me/html/garbini/address-book.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/address-book.html	(from http://eazzy.me/html/garbini/product.html)
15:44:34	28741/28741	---M-Z	200	added ('OK')	text/html	etag:%227045-5200153e0f3dc%22	http://eazzy.me/html/garbini/order-history.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/order-history.html	(from http://eazzy.me/html/garbini/product.html)
15:44:35	26265/26265	---M-Z	200	added ('OK')	text/html	etag:%226699-5200154813ab5%22	http://eazzy.me/html/garbini/review-rating.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/review-rating.html	(from http://eazzy.me/html/garbini/product.html)
15:44:35	24324/24324	---M-Z	200	added ('OK')	text/html	etag:%225f04-520015472a45e%22	http://eazzy.me/html/garbini/return.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/return.html	(from http://eazzy.me/html/garbini/product.html)
15:44:35	23897/23897	---M-Z	200	added ('OK')	text/html	etag:%225d59-5200153d25d85%22	http://eazzy.me/html/garbini/newsletter.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/newsletter.html	(from http://eazzy.me/html/garbini/product.html)
15:44:36	24882/24882	---M-Z	200	added ('OK')	text/html	etag:%226132-5200153c3f60e%22	http://eazzy.me/html/garbini/myaccount-leftsidebar.html	C:/My%20Web%20Sites/QuickFashions/eazzy.me/html/garbini/myaccount-leftsidebar.html	(from http://eazzy.me/html/garbini/product.html)
